"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2005 September","National - houses","Base Jan 2005 = 100","108.8"
"Residential Property Price Index","2005 September","National - apartments","Base Jan 2005 = 100","103.1"
"Residential Property Price Index","2005 September","Dublin - all residential properties","Base Jan 2005 = 100","109.7"
"Residential Property Price Index","2005 September","Dublin - houses","Base Jan 2005 = 100","110.5"
"Residential Property Price Index","2005 September","Dublin - apartments","Base Jan 2005 = 100","106.8"
"Residential Property Price Index","2005 September","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 September","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 September","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 September","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 September","National excluding Dublin - all residential properties","Base Jan 2005 = 100","107.4"
"Residential Property Price Index","2005 September","National excluding Dublin - houses","Base Jan 2005 = 100","108"
"Residential Property Price Index","2005 September","National excluding Dublin - apartments","Base Jan 2005 = 100","98.5"
"Residential Property Price Index","2005 September","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 September","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 September","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 September","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 September","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 September","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 September","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 October","National - all residential properties","Base Jan 2005 = 100","110.6"
"Residential Property Price Index","2005 October","National - houses","Base Jan 2005 = 100","111.1"
"Residential Property Price Index","2005 October","National - apartments","Base Jan 2005 = 100","105.2"
"Residential Property Price Index","2005 October","Dublin - all residential properties","Base Jan 2005 = 100","112.8"
"Residential Property Price Index","2005 October","Dublin - houses","Base Jan 2005 = 100","114"
"Residential Property Price Index","2005 October","Dublin - apartments","Base Jan 2005 = 100","108.4"
"Residential Property Price Index","2005 October","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 October","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 October","Fingal - houses","Base Jan 2005 = 100",""
