"Statistic Label","Item","Quarter","UNIT","VALUE"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1985Q3","Euro Million","1269"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1985Q4","Euro Million","1289"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1986Q1","Euro Million","1258.4"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1986Q2","Euro Million","1270"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1986Q3","Euro Million","1289.9"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1986Q4","Euro Million","1285.4"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1987Q1","Euro Million","1308.3"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1987Q2","Euro Million","1328.1"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1987Q3","Euro Million","1363.7"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1987Q4","Euro Million","1387.3"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1988Q1","Euro Million","1409"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1988Q2","Euro Million","1420.6"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1988Q3","Euro Million","1430.4"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1988Q4","Euro Million","1437"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1989Q1","Euro Million","1434.8"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1989Q2","Euro Million","1432.4"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1989Q3","Euro Million","1449.9"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1989Q4","Euro Million","1438.7"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1990Q1","Euro Million","1414.9"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1990Q2","Euro Million","1447.2"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1990Q3","Euro Million","1472.4"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1990Q4","Euro Million","1482"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1991Q1","Euro Million","1507.3"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1991Q2","Euro Million","1538.5"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1991Q3","Euro Million","1566.9"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1991Q4","Euro Million","1556.3"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1992Q1","Euro Million","515.5"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1992Q2","Euro Million","521.6"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1992Q3","Euro Million","524.7"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1992Q4","Euro Million","524"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1993Q1","Euro Million","524.1"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1993Q2","Euro Million","559.2"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1993Q3","Euro Million","595.4"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1993Q4","Euro Million","600.5"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1994Q1","Euro Million","608.7"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1994Q2","Euro Million","610.4"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1994Q3","Euro Million","614.9"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1994Q4","Euro Million","614.6"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1995Q1","Euro Million","613.3"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1995Q2","Euro Million","598.3"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1995Q3","Euro Million","595.5"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1995Q4","Euro Million","590.9"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1996Q1","Euro Million","599.3"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1996Q2","Euro Million","604.4"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1996Q3","Euro Million","605.7"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1996Q4","Euro Million","599.3"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1997Q1","Euro Million","598"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1997Q2","Euro Million","595.5"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1997Q3","Euro Million","595.5"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1997Q4","Euro Million","589.2"
