Statistic Label,Quarter,Area,UNIT,VALUE
New House Prices,1987Q2,Limerick,Euro,45802
New House Prices,1987Q2,Waterford,Euro,45741
New House Prices,1987Q2,Other areas,Euro,45071
New House Prices,1987Q3,National,Euro,48946
New House Prices,1987Q3,Dublin,Euro,52676
New House Prices,1987Q3,Cork,Euro,45292
New House Prices,1987Q3,Galway,Euro,48714
New House Prices,1987Q3,Limerick,Euro,50137
New House Prices,1987Q3,Waterford,Euro,49738
New House Prices,1987Q3,Other areas,Euro,45971
New House Prices,1987Q4,National,Euro,51511
New House Prices,1987Q4,Dublin,Euro,51925
New House Prices,1987Q4,Cork,Euro,50495
New House Prices,1987Q4,Galway,Euro,49560
New House Prices,1987Q4,Limerick,Euro,48594
New House Prices,1987Q4,Waterford,Euro,48217
New House Prices,1987Q4,Other areas,Euro,45398
New House Prices,1988Q1,National,Euro,51021
New House Prices,1988Q1,Dublin,Euro,54478
New House Prices,1988Q1,Cork,Euro,45825
New House Prices,1988Q1,Galway,Euro,50739
New House Prices,1988Q1,Limerick,Euro,50762
New House Prices,1988Q1,Waterford,Euro,46766
New House Prices,1988Q1,Other areas,Euro,48053
New House Prices,1988Q2,National,Euro,51028
New House Prices,1988Q2,Dublin,Euro,56616
New House Prices,1988Q2,Cork,Euro,47162
New House Prices,1988Q2,Galway,Euro,48938
New House Prices,1988Q2,Limerick,Euro,51381
New House Prices,1988Q2,Waterford,Euro,46514
New House Prices,1988Q2,Other areas,Euro,46634
New House Prices,1988Q3,National,Euro,52661
New House Prices,1988Q3,Dublin,Euro,58923
New House Prices,1988Q3,Cork,Euro,53041
New House Prices,1988Q3,Galway,Euro,53213
New House Prices,1988Q3,Limerick,Euro,49022
New House Prices,1988Q3,Waterford,Euro,46121
New House Prices,1988Q3,Other areas,Euro,47288
New House Prices,1988Q4,National,Euro,54426
New House Prices,1988Q4,Dublin,Euro,61128
New House Prices,1988Q4,Cork,Euro,50966
New House Prices,1988Q4,Galway,Euro,54764
New House Prices,1988Q4,Limerick,Euro,58346
New House Prices,1988Q4,Waterford,Euro,48901
New House Prices,1988Q4,Other areas,Euro,47686
New House Prices,1989Q1,National,Euro,56845
New House Prices,1989Q1,Dublin,Euro,66729
New House Prices,1989Q1,Cork,Euro,53100
New House Prices,1989Q1,Galway,Euro,55985
New House Prices,1989Q1,Limerick,Euro,55317
New House Prices,1989Q1,Waterford,Euro,49075
New House Prices,1989Q1,Other areas,Euro,49816
New House Prices,1989Q2,National,Euro,55954
New House Prices,1989Q2,Dublin,Euro,66781
New House Prices,1989Q2,Cork,Euro,53281
New House Prices,1989Q2,Galway,Euro,54815
New House Prices,1989Q2,Limerick,Euro,53003
New House Prices,1989Q2,Waterford,Euro,49049
New House Prices,1989Q2,Other areas,Euro,47727
New House Prices,1989Q3,National,Euro,58574
New House Prices,1989Q3,Dublin,Euro,69758
New House Prices,1989Q3,Cork,Euro,56748
New House Prices,1989Q3,Galway,Euro,60695
New House Prices,1989Q3,Limerick,Euro,53390
New House Prices,1989Q3,Waterford,Euro,50208
New House Prices,1989Q3,Other areas,Euro,51934
New House Prices,1989Q4,National,Euro,62453
New House Prices,1989Q4,Dublin,Euro,71353
New House Prices,1989Q4,Cork,Euro,56351
New House Prices,1989Q4,Galway,Euro,61954
New House Prices,1989Q4,Limerick,Euro,58894
New House Prices,1989Q4,Waterford,Euro,54798
New House Prices,1989Q4,Other areas,Euro,57402
New House Prices,1990Q1,National,Euro,65366
New House Prices,1990Q1,Dublin,Euro,78269
New House Prices,1990Q1,Cork,Euro,60231
New House Prices,1990Q1,Galway,Euro,66233
New House Prices,1990Q1,Limerick,Euro,63717
New House Prices,1990Q1,Waterford,Euro,51515
New House Prices,1990Q1,Other areas,Euro,56277
New House Prices,1990Q2,National,Euro,64700
New House Prices,1990Q2,Dublin,Euro,81624
New House Prices,1990Q2,Cork,Euro,61185
New House Prices,1990Q2,Galway,Euro,67906
New House Prices,1990Q2,Limerick,Euro,59727
New House Prices,1990Q2,Waterford,Euro,52849
New House Prices,1990Q2,Other areas,Euro,53210
New House Prices,1990Q3,National,Euro,66772
New House Prices,1990Q3,Dublin,Euro,85497
New House Prices,1990Q3,Cork,Euro,60800
New House Prices,1990Q3,Galway,Euro,68490
New House Prices,1990Q3,Limerick,Euro,64898
New House Prices,1990Q3,Waterford,Euro,56533
New House Prices,1990Q3,Other areas,Euro,56411
New House Prices,1990Q4,National,Euro,65425
New House Prices,1990Q4,Dublin,Euro,78292
New House Prices,1990Q4,Cork,Euro,61935
New House Prices,1990Q4,Galway,Euro,69168
New House Prices,1990Q4,Limerick,Euro,60945
New House Prices,1990Q4,Waterford,Euro,55846
New House Prices,1990Q4,Other areas,Euro,57127
New House Prices,1991Q1,National,Euro,67007
New House Prices,1991Q1,Dublin,Euro,80914
New House Prices,1991Q1,Cork,Euro,65286
New House Prices,1991Q1,Galway,Euro,67319
New House Prices,1991Q1,Limerick,Euro,65253
New House Prices,1991Q1,Waterford,Euro,53418
New House Prices,1991Q1,Other areas,Euro,56892
New House Prices,1991Q2,National,Euro,64974
New House Prices,1991Q2,Dublin,Euro,76436
New House Prices,1991Q2,Cork,Euro,62132
New House Prices,1991Q2,Galway,Euro,62561
New House Prices,1991Q2,Limerick,Euro,61756
New House Prices,1991Q2,Waterford,Euro,51183
New House Prices,1991Q2,Other areas,Euro,57320
New House Prices,1991Q3,National,Euro,66694
New House Prices,1991Q3,Dublin,Euro,78462
New House Prices,1991Q3,Cork,Euro,63462
New House Prices,1991Q3,Galway,Euro,67958
New House Prices,1991Q3,Limerick,Euro,64593
New House Prices,1991Q3,Waterford,Euro,52474
New House Prices,1991Q3,Other areas,Euro,58970
New House Prices,1991Q4,National,Euro,69070
New House Prices,1991Q4,Dublin,Euro,79732
New House Prices,1991Q4,Cork,Euro,67248
New House Prices,1991Q4,Galway,Euro,69198
New House Prices,1991Q4,Limerick,Euro,66471
New House Prices,1991Q4,Waterford,Euro,56821
New House Prices,1991Q4,Other areas,Euro,61186
New House Prices,1992Q1,National,Euro,69688
New House Prices,1992Q1,Dublin,Euro,78980
New House Prices,1992Q1,Cork,Euro,66805
New House Prices,1992Q1,Galway,Euro,72450
New House Prices,1992Q1,Limerick,Euro,62776
New House Prices,1992Q1,Waterford,Euro,55046
New House Prices,1992Q1,Other areas,Euro,60898
New House Prices,1992Q2,National,Euro,68764
New House Prices,1992Q2,Dublin,Euro,78389
New House Prices,1992Q2,Cork,Euro,65162
New House Prices,1992Q2,Galway,Euro,71616
New House Prices,1992Q2,Limerick,Euro,60768
New House Prices,1992Q2,Waterford,Euro,52881
New House Prices,1992Q2,Other areas,Euro,61591
New House Prices,1992Q3,National,Euro,69276
New House Prices,1992Q3,Dublin,Euro,81516
New House Prices,1992Q3,Cork,Euro,63482
New House Prices,1992Q3,Galway,Euro,72757
New House Prices,1992Q3,Limerick,Euro,58197
New House Prices,1992Q3,Waterford,Euro,48853
New House Prices,1992Q3,Other areas,Euro,64044
New House Prices,1992Q4,National,Euro,69370
New House Prices,1992Q4,Dublin,Euro,78263
New House Prices,1992Q4,Cork,Euro,64974
New House Prices,1992Q4,Galway,Euro,86148
New House Prices,1992Q4,Limerick,Euro,58826
New House Prices,1992Q4,Waterford,Euro,53685
New House Prices,1992Q4,Other areas,Euro,62674
New House Prices,1993Q1,National,Euro,67975
New House Prices,1993Q1,Dublin,Euro,71942
New House Prices,1993Q1,Cork,Euro,68497
New House Prices,1993Q1,Galway,Euro,76631
New House Prices,1993Q1,Limerick,Euro,61990
New House Prices,1993Q1,Waterford,Euro,57699
New House Prices,1993Q1,Other areas,Euro,64724
New House Prices,1993Q2,National,Euro,69955
New House Prices,1993Q2,Dublin,Euro,75373
New House Prices,1993Q2,Cork,Euro,69036
New House Prices,1993Q2,Galway,Euro,73213
New House Prices,1993Q2,Limerick,Euro,69756
New House Prices,1993Q2,Waterford,Euro,63423
New House Prices,1993Q2,Other areas,Euro,64094
New House Prices,1993Q3,National,Euro,70956
New House Prices,1993Q3,Dublin,Euro,78088
New House Prices,1993Q3,Cork,Euro,67460
New House Prices,1993Q3,Galway,Euro,76301
New House Prices,1993Q3,Limerick,Euro,68174
New House Prices,1993Q3,Waterford,Euro,59798
New House Prices,1993Q3,Other areas,Euro,65102
New House Prices,1993Q4,National,Euro,69753
New House Prices,1993Q4,Dublin,Euro,74700
New House Prices,1993Q4,Cork,Euro,67901
New House Prices,1993Q4,Galway,Euro,73988
New House Prices,1993Q4,Limerick,Euro,65347
New House Prices,1993Q4,Waterford,Euro,62922
New House Prices,1993Q4,Other areas,Euro,66104
New House Prices,1994Q1,National,Euro,73016
New House Prices,1994Q1,Dublin,Euro,81145
New House Prices,1994Q1,Cork,Euro,68612
New House Prices,1994Q1,Galway,Euro,75408
New House Prices,1994Q1,Limerick,Euro,68811
New House Prices,1994Q1,Waterford,Euro,68514
New House Prices,1994Q1,Other areas,Euro,68448
New House Prices,1994Q2,National,Euro,72084
New House Prices,1994Q2,Dublin,Euro,80042
New House Prices,1994Q2,Cork,Euro,72418
New House Prices,1994Q2,Galway,Euro,76467
New House Prices,1994Q2,Limerick,Euro,66819
New House Prices,1994Q2,Waterford,Euro,69288
New House Prices,1994Q2,Other areas,Euro,66971
New House Prices,1994Q3,National,Euro,70933
New House Prices,1994Q3,Dublin,Euro,82948
New House Prices,1994Q3,Cork,Euro,68674
New House Prices,1994Q3,Galway,Euro,75497
New House Prices,1994Q3,Limerick,Euro,66764
New House Prices,1994Q3,Waterford,Euro,67912
New House Prices,1994Q3,Other areas,Euro,64147
New House Prices,1994Q4,National,Euro,74997
New House Prices,1994Q4,Dublin,Euro,84068
New House Prices,1994Q4,Cork,Euro,76719
New House Prices,1994Q4,Galway,Euro,82332
New House Prices,1994Q4,Limerick,Euro,70750
New House Prices,1994Q4,Waterford,Euro,71069
New House Prices,1994Q4,Other areas,Euro,67931
New House Prices,1995Q1,National,Euro,77731
New House Prices,1995Q1,Dublin,Euro,83281
New House Prices,1995Q1,Cork,Euro,75939
New House Prices,1995Q1,Galway,Euro,88511
New House Prices,1995Q1,Limerick,Euro,69663
New House Prices,1995Q1,Waterford,Euro,68896
New House Prices,1995Q1,Other areas,Euro,73547
New House Prices,1995Q2,National,Euro,76655
New House Prices,1995Q2,Dublin,Euro,87578
New House Prices,1995Q2,Cork,Euro,75751
New House Prices,1995Q2,Galway,Euro,86868
